suspicious_permissions,network_operations,file_encryption_ops,sensitive_api_calls,aviation_app_impersonation,data_size_exfiltrated,background_processes,flight_plan_access_frequency,label,threat_name
3,64,5,1,1,31.858257107591914,4,7,1,EFB_DATA_EXFILTRATION
4,53,3,7,1,1.9428287191077893,3,25,0,FLIGHT_PLAN_INJECTION
5,50,1,6,1,1.2621410049277337,2,31,0,FLIGHT_PLAN_INJECTION
4,88,3,4,1,0.1886647601058693,4,49,0,FLIGHT_PLAN_INJECTION
3,80,4,6,1,1.2255876808378807,4,24,0,FLIGHT_PLAN_INJECTION
7,28,6,5,1,9.4509166790061,5,27,2,MAINTENANCE_LOG_TAMPERING
4,102,4,3,1,35.74685834714562,6,17,1,EFB_DATA_EXFILTRATION
5,33,5,5,1,2.231242833986592,7,11,2,MAINTENANCE_LOG_TAMPERING
4,53,7,3,1,42.90281485677493,6,6,1,EFB_DATA_EXFILTRATION
6,63,6,1,1,48.25274109572071,3,17,1,EFB_DATA_EXFILTRATION
2,53,2,3,1,0.6337755684060234,2,28,0,FLIGHT_PLAN_INJECTION
2,94,1,3,1,1.5672650616636492,4,30,0,FLIGHT_PLAN_INJECTION
5,64,3,3,1,1.2513239520839217,3,26,0,FLIGHT_PLAN_INJECTION
6,26,5,5,1,4.7697814043129325,4,25,2,MAINTENANCE_LOG_TAMPERING
4,137,7,3,1,31.60840044684772,4,15,1,EFB_DATA_EXFILTRATION
5,96,5,1,1,37.477828452419296,5,19,1,EFB_DATA_EXFILTRATION
4,38,3,4,1,0.14829634081378085,2,38,0,FLIGHT_PLAN_INJECTION
4,81,1,6,1,1.8243763004595768,4,26,0,FLIGHT_PLAN_INJECTION
5,78,6,1,1,8.464095942295685,5,7,1,EFB_DATA_EXFILTRATION
3,71,1,3,1,0.30043909367751415,3,49,0,FLIGHT_PLAN_INJECTION
4,141,3,3,1,45.80727986955893,3,13,1,EFB_DATA_EXFILTRATION
3,71,9,2,1,3.395421952501276,5,17,2,MAINTENANCE_LOG_TAMPERING
4,86,3,3,1,17.123555020933466,6,19,1,EFB_DATA_EXFILTRATION
